"Key","Japanese","English"
"# --- Title / HUD ---","",""
"hud.controls",": 移動
: 憑依
: 攻撃
: スキル
: 回避


",": Move
: Hijack
: Attack
: Skill
: Dodge


"
"# --- Stage clear achievements ---","",""
"achieve.hijack4","乗っ取った数が4回以内でクリア","Clear with 4 hijacks or fewer"
"achieve.no_gameover","一度もゲームオーバーにならずにクリア","Clear without a single game over"
"achieve.time200","200秒以内にクリア","Clear within 200 seconds"
"# --- Tutorial pages ---","",""
"tutorial.ghost","【幽霊状態】
プレーヤーは幽霊のため、
そのままでは攻撃ができません。
幽霊状態が60秒続くと力尽き、
ゲームオーバーになります。
また、幽霊状態で攻撃を受けると、
即死してゲームオーバーになります。
モンスターに憑依し体を手に入れ、
モンスターを倒しながら先へ進みましょう。

","[GHOST FORM]
You are a ghost, so you
cannot attack on your own.
Stay a ghost for 60 seconds and
you run out of power - game over.
Take even one hit as a ghost and
you die instantly - game over.
Hijack a monster to take its body,
then fight your way forward.

"
"tutorial.shadowzone","【シャドウゾーン】
シャドウゾーン内にいると
モンスターに見つからない。
モンスターに見つかっている状態で
シャドウゾーンに入るとプレイヤーを見失う。
シャドウゾーンを活用してモンスターに憑依しよう。

","[SHADOW ZONE]
While you are in a shadow zone,
monsters cannot see you.
If a monster has already spotted you,
entering a shadow zone makes it lose you.
Use shadow zones to set up your hijacks.

"
"tutorial.hijack_approach","
モンスターに気づかれないように近づき、
Bボタンで憑依しよう！

　　　　　　　　　　　モンスターの上に
　　　　　　　　　　　紫のアイコンが出たら
　　　　　　　　　　　　Bボタンで憑依できる。



次へ

","
Sneak up on a monster without being seen,
then press B to hijack it!

<align=left><pos=1040>When a purple icon
<pos=1040>appears above a monster,
<pos=1040>you can hijack it with B.
<align=center>


Next

"
"tutorial.hijack_action","【憑依アクション】
敵に気づかれないようにBボタンを
押すと【憑依アクション】が発生！
タイミングよくBボタンを押せ！






","[HIJACK ACTION]
Press B before the enemy notices you
to trigger a HIJACK ACTION!
Hit B with the right timing!






"
